The initialization template is either None or invalid, the servers and jobs will be generated randomly
Episode 30000, Average_updates: 0.242873, iterations: 14970000,reward: -2432.813789
Episode 30100, Average_updates: 0.241471, iterations: 15019900,reward: -2414.439045
Episode 30200, Average_updates: 0.244053, iterations: 15069800,reward: -2441.487571
Episode 30300, Average_updates: 0.242348, iterations: 15119700,reward: -2427.957752
Episode 30400, Average_updates: 0.242399, iterations: 15169600,reward: -2419.995608
Episode 30500, Average_updates: 0.242720, iterations: 15219500,reward: -2423.964551
Episode 30600, Average_updates: 0.243658, iterations: 15269400,reward: -2437.562591
Episode 30700, Average_updates: 0.240719, iterations: 15319300,reward: -2404.823237
Episode 30800, Average_updates: 0.242020, iterations: 15369200,reward: -2420.614677
Episode 30900, Average_updates: 0.242146, iterations: 15419100,reward: -2417.484787
Episode 31000, Average_updates: 0.241461, iterations: 15469000,reward: -2413.803986
Episode 31100, Average_updates: 0.240996, iterations: 15518900,reward: -2406.450275
Episode 31200, Average_updates: 0.242975, iterations: 15568800,reward: -2427.672386
Episode 31300, Average_updates: 0.242578, iterations: 15618700,reward: -2423.234606
Episode 31400, Average_updates: 0.242540, iterations: 15668600,reward: -2421.927068
Episode 31500, Average_updates: 0.242666, iterations: 15718500,reward: -2423.802354
Episode 31600, Average_updates: 0.242224, iterations: 15768400,reward: -2421.145511
Episode 31700, Average_updates: 0.242813, iterations: 15818300,reward: -2428.048463
Episode 31800, Average_updates: 0.244247, iterations: 15868200,reward: -2442.119157
Episode 31900, Average_updates: 0.242912, iterations: 15918100,reward: -2424.858647
Episode 32000, Average_updates: 0.242374, iterations: 15968000,reward: -2417.581933
Episode 32100, Average_updates: 0.242501, iterations: 16017900,reward: -2425.791578
Episode 32200, Average_updates: 0.242356, iterations: 16067800,reward: -2420.761243
Episode 32300, Average_updates: 0.243816, iterations: 16117700,reward: -2437.375966
Episode 32400, Average_updates: 0.240589, iterations: 16167600,reward: -2404.930585
Episode 32500, Average_updates: 0.242987, iterations: 16217500,reward: -2429.671559
Episode 32600, Average_updates: 0.243449, iterations: 16267400,reward: -2432.406452
Episode 32700, Average_updates: 0.243748, iterations: 16317300,reward: -2437.574018
Episode 32800, Average_updates: 0.244399, iterations: 16367200,reward: -2441.386622
Episode 32900, Average_updates: 0.243645, iterations: 16417100,reward: -2433.238191
Episode 33000, Average_updates: 0.243388, iterations: 16467000,reward: -2433.667938
Episode 33100, Average_updates: 0.241999, iterations: 16516900,reward: -2417.985132
Episode 33200, Average_updates: 0.243291, iterations: 16566800,reward: -2431.350462
Episode 33300, Average_updates: 0.244328, iterations: 16616700,reward: -2436.615476
Episode 33400, Average_updates: 0.242077, iterations: 16666600,reward: -2420.061550
Episode 33500, Average_updates: 0.242900, iterations: 16716500,reward: -2433.518167
Episode 33600, Average_updates: 0.242574, iterations: 16766400,reward: -2417.523150
Episode 33700, Average_updates: 0.243052, iterations: 16816300,reward: -2428.334524
Episode 33800, Average_updates: 0.242354, iterations: 16866200,reward: -2422.836298
Episode 33900, Average_updates: 0.242948, iterations: 16916100,reward: -2427.802719
Episode 34000, Average_updates: 0.241679, iterations: 16966000,reward: -2415.322453
Episode 34100, Average_updates: 0.243031, iterations: 17015900,reward: -2428.751475
Episode 34200, Average_updates: 0.242099, iterations: 17065800,reward: -2417.483665
Episode 34300, Average_updates: 0.242715, iterations: 17115700,reward: -2425.485447
Episode 34400, Average_updates: 0.244018, iterations: 17165600,reward: -2437.468560
Episode 34500, Average_updates: 0.240506, iterations: 17215500,reward: -2406.260447
Episode 34600, Average_updates: 0.242769, iterations: 17265400,reward: -2431.052760
Episode 34700, Average_updates: 0.243531, iterations: 17315300,reward: -2438.011161
Episode 34800, Average_updates: 0.242839, iterations: 17365200,reward: -2426.779074
Episode 34900, Average_updates: 0.241675, iterations: 17415100,reward: -2413.212138
Episode 35000, Average_updates: 0.242834, iterations: 17465000,reward: -2429.840405
Episode 35100, Average_updates: 0.243673, iterations: 17514900,reward: -2435.288853
Episode 35200, Average_updates: 0.242642, iterations: 17564800,reward: -2425.502131
Episode 35300, Average_updates: 0.242407, iterations: 17614700,reward: -2418.840952
Episode 35400, Average_updates: 0.243345, iterations: 17664600,reward: -2431.075592
Episode 35500, Average_updates: 0.243577, iterations: 17714500,reward: -2432.304342
Episode 35600, Average_updates: 0.242459, iterations: 17764400,reward: -2419.996287
Episode 35700, Average_updates: 0.242746, iterations: 17814300,reward: -2424.544332
Episode 35800, Average_updates: 0.243018, iterations: 17864200,reward: -2430.081026
Episode 35900, Average_updates: 0.242536, iterations: 17914100,reward: -2422.659588
Episode 36000, Average_updates: 0.242281, iterations: 17964000,reward: -2429.138675
Episode 36100, Average_updates: 0.243423, iterations: 18013900,reward: -2428.822711
Episode 36200, Average_updates: 0.242895, iterations: 18063800,reward: -2427.217305
Episode 36300, Average_updates: 0.242165, iterations: 18113700,reward: -2417.522044
Episode 36400, Average_updates: 0.241689, iterations: 18163600,reward: -2413.580950
